# file...... wh_1.csv
# date...... Sat Jul  3 15:07:05 2021
# user...... midrar
# host...... (null)
# target.... waterheater 21
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,height,tank_setpoint,waterheater_model,power.real,constant_power,constant_current,water_demand,temperature,is_waterheater_on
2020-01-02 04:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.431,+0
2020-01-02 04:10:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.729,+1
2020-01-02 04:15:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.698,+0
2020-01-02 04:20:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.074,+0
2020-01-02 04:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.457,+0
2020-01-02 04:30:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.623,+1
2020-01-02 04:35:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.725,+0
2020-01-02 04:40:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.101,+0
2020-01-02 04:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.484,+0
2020-01-02 04:50:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.517,+1
2020-01-02 04:55:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.752,+0
2020-01-02 05:00:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.128,+0
2020-01-02 05:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.511,+0
2020-01-02 05:10:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.41,+1
2020-01-02 05:15:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.779,+0
2020-01-02 05:20:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.155,+0
2020-01-02 05:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.537,+0
2020-01-02 05:30:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.304,+1
2020-01-02 05:35:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.806,+0
2020-01-02 05:40:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.182,+0
2020-01-02 05:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.564,+0
2020-01-02 05:50:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.197,+1
2020-01-02 05:55:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.833,+0
2020-01-02 06:00:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.209,+0
2020-01-02 06:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.59,+0
2020-01-02 06:10:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.091,+1
2020-01-02 06:15:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.861,+0
2020-01-02 06:20:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.235,+0
2020-01-02 06:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.617,+0
2020-01-02 06:30:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.005,+1
2020-01-02 06:35:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.877,+0
2020-01-02 06:40:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.252,+0
2020-01-02 06:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.633,+0
2020-01-02 06:50:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.021,+0
2020-01-02 06:55:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.904,+0
2020-01-02 07:00:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.279,+0
